sub_folder_name,level,level_label,level_rank,model,f1_global,f1_class,f1_association,f1_attribute,f1_cardinality
AirTravel,zero,L0 (minimal),0,claude-sonnet-4-6,0.32107142857142856,0.73,0.15,0.29,0.11428571428571428
AirTravel,one,L1 (simple),1,claude-sonnet-4-6,0.35035714285714287,0.73,0.21,0.29,0.17142857142857143
AirTravel,two,L2 (mid),2,claude-sonnet-4-6,0.34785714285714286,0.73,0.2,0.29,0.17142857142857143
AirTravel,three,L3 (real),3,claude-sonnet-4-6,0.35035714285714287,0.73,0.21,0.29,0.17142857142857143
AirTravel,four,L4 (flat),4,claude-sonnet-4-6,0.3703571428571429,0.73,0.21,0.37,0.17142857142857143
BankAccount,zero,L0 (minimal),0,claude-sonnet-4-6,0.7874999999999999,0.83,0.8,0.8,0.72
BankAccount,one,L1 (simple),1,claude-sonnet-4-6,0.7549999999999999,0.83,0.8,0.67,0.72
BankAccount,two,L2 (mid),2,claude-sonnet-4-6,0.7549999999999999,0.83,0.8,0.67,0.72
BankAccount,three,L3 (real),3,claude-sonnet-4-6,0.7549999999999999,0.83,0.8,0.67,0.72
Boeing,zero,L0 (minimal),0,claude-sonnet-4-6,0.20416666666666666,0.33,0.22,0.0,0.26666666666666666
Boeing,one,L1 (simple),1,claude-sonnet-4-6,0.20416666666666666,0.33,0.22,0.0,0.26666666666666666
Boeing,two,L2 (mid),2,claude-sonnet-4-6,0.21416666666666667,0.31,0.18,0.1,0.26666666666666666
Boeing,three,L3 (real),3,claude-sonnet-4-6,0.2391666666666667,0.33,0.25,0.11,0.26666666666666666
Boeing,four,L4 (flat),4,claude-sonnet-4-6,0.21166666666666667,0.36,0.22,0.0,0.26666666666666666
BuildingManagement,zero,L0 (minimal),0,claude-sonnet-4-6,0.51125,0.8,0.29,0.58,0.375
BuildingManagement,one,L1 (simple),1,claude-sonnet-4-6,0.43,0.7,0.21,0.56,0.25
BuildingManagement,two,L2 (mid),2,claude-sonnet-4-6,0.4675,0.84,0.22,0.56,0.25
BuildingManagement,three,L3 (real),3,claude-sonnet-4-6,0.4425,0.74,0.22,0.56,0.25
BusTransportationManagementSystem,zero,L0 (minimal),0,claude-sonnet-4-6,0.17,0.46,0.0,0.22,0.0
BusTransportationManagementSystem,one,L1 (simple),1,claude-sonnet-4-6,0.1975,0.55,0.0,0.24,0.0
BusTransportationManagementSystem,two,L2 (mid),2,claude-sonnet-4-6,0.1975,0.55,0.0,0.24,0.0
BusTransportationManagementSystem,three,L3 (real),3,claude-sonnet-4-6,0.15,0.36,0.0,0.24,0.0
CardGameApp,zero,L0 (minimal),0,claude-sonnet-4-6,0.23557692307692307,0.6,0.25,0.0,0.09230769230769231
CardGameApp,one,L1 (simple),1,claude-sonnet-4-6,0.27192307692307693,0.63,0.35,0.0,0.1076923076923077
